lag,lagged_condition,user_id,n_after_previous_correct,errors_after_previous_correct,n_after_previous_error,errors_after_previous_error,shrunk_risk_after_previous_correct,shrunk_risk_after_previous_error,risk_difference,posterior_risk_difference_sd,raw_stable,log_odds_ratio,odds_ratio
1,all,1354,31200,2081,2193,248,0.06665984140201661,0.11123478913731119,0.04457494773529458,0.006765676288567637,True,0.5609771155599406,1.7523839456402708
1,all,1369,29488,966,958,56,0.03279136836060635,0.057781367000365604,0.024989998639759252,0.007368588324107736,True,0.5926779139431617,1.8088258153082484
1,all,1478,23353,1546,1618,173,0.06615079814035632,0.10467085816911058,0.03852006002875426,0.007637005823027701,True,0.5010073507152395,1.650382948056819
1,all,1488,25769,826,889,127,0.03209269000029997,0.13647321997658585,0.10438052997628589,0.011168870192167233,True,1.5616115444827192,4.766496480089876
1,all,1744,27227,966,1045,143,0.03550807004089747,0.1317029660651846,0.09619489602428714,0.010212101346425086,True,1.415856738251957,4.120014728575277
1,all,1941,69464,2976,3182,395,0.04284678601936042,0.12263026771367252,0.0797834816943121,0.0058074535488646705,True,1.1385782237814648,3.1223259590856802
1,all,2046,34452,863,857,35,0.02509125882007044,0.04131510680029249,0.01622384798022205,0.00660843837024748,True,0.5154901093290243,1.6744589686834888
1,all,2090,25533,1392,1410,137,0.054500616843861205,0.0950173647744815,0.040516747930620295,0.007766206460940119,True,0.5996451219346146,1.8214722851195535
1,all,2143,25720,711,679,28,0.02769353481963473,0.04179172578337086,0.014098190963736133,0.00740772196245681,True,0.4261052748151619,1.5312819720746804
1,all,2317,32841,1564,1603,90,0.047623513999507566,0.05582027417007813,0.008196760170570562,0.005742580419089943,True,0.16745439847435684,1.1822913746651766
1,all,2410,29385,1048,1090,114,0.03569054142335944,0.10143511212382796,0.06574457070046852,0.008949220101631043,True,1.1151469336696938,3.050016296347175
1,all,2553,29050,1173,1213,90,0.040394694588645634,0.07286905895780084,0.032474364369155205,0.007361925399932538,True,0.624392914992586,1.867112117524731
1,all,2683,32343,1549,1513,126,0.04789248465155228,0.08183545972258789,0.03394297507103561,0.007001837106359488,True,0.5720533995095987,1.7719017405873279
1,all,2718,24746,889,946,150,0.03595529125276642,0.1515447609251869,0.11558946967242048,0.011339634021214448,True,1.56632511758804,4.789016743463091
1,all,2918,171188,12332,12433,448,0.07202866956129006,0.03609272522975799,-0.03593594433153207,0.001781563881994475,True,-0.7289671638624018,0.4824069802370417
1,all,3288,25810,1699,1800,133,0.06578237651650604,0.07299023507379679,0.007207858557290753,0.006217468667145162,True,0.11171901099203563,1.1181986149777938
1,all,3403,24542,433,428,68,0.017721258555339077,0.14443013811658742,0.12670887956124835,0.015855539820891846,True,2.236138316964639,9.357127168771418
1,all,3471,23386,1644,1729,255,0.07023682616156116,0.1439261499308153,0.07368932376925413,0.008453847349160593,True,0.8000008137086769,2.2255427394351686
1,all,3497,28151,1582,1623,87,0.05617765111482821,0.053380081750008565,-0.0027975693648196465,0.005640550310996604,True,-0.05404103580759845,0.9473932286578606
1,all,3605,25898,376,412,55,0.014600147651097878,0.12197015783829955,0.10737001018720167,0.015003569500313991,True,2.238111683595979,9.375610442431123
1,all,3875,82469,5112,5142,269,0.06197585086402627,0.052257415731525474,-0.0097184351325008,0.003196257535790066,True,-0.18087023410453096,0.8345436469732325
1,all,3988,37820,1716,1669,69,0.045376716946636045,0.041576015380398776,-0.003800701566237269,0.004911675694073975,True,-0.09144914135830451,0.9126077289612508
1,all,4193,53173,2179,2180,368,0.04098749340925548,0.16535710145967344,0.12436960805041797,0.007887762607417026,True,1.5337405543063576,4.635483712000893
1,all,4275,30767,963,898,43,0.03133373548843986,0.04787084026672405,0.01653710477828419,0.006951179239209345,True,0.44103067081075764,1.5543083735092285
1,all,4344,28215,1225,1250,99,0.04342626633339061,0.07766680350369232,0.034240537170301705,0.00747979396136206,True,0.6178147837524484,1.854870317203872
1,all,4398,29440,869,899,60,0.02955701782324333,0.065475789168587,0.03591877134534367,0.008028156447368002,True,0.833074353407047,2.3003800614834735
1,all,4431,42278,3026,3125,197,0.07153780359107886,0.06273219224869814,-0.008805611342380726,0.00447221590322402,True,-0.14079067282321533,0.8686711291423556
1,all,4484,52553,657,498,15,0.012544403245358165,0.032118261324678425,0.019573858079320258,0.007447116539927998,True,0.9601717688644071,2.612145120091195
1,all,4790,26218,1577,1638,120,0.06011919746786748,0.0722994957758672,0.012180298307999715,0.006444884574472035,True,0.19753205235506943,1.2183921166805238
1,all,4969,38452,1731,1775,174,0.04502158884168959,0.09627824827113426,0.05125665942944468,0.006957421461604801,True,0.8152675097315019,2.2597801046693866
1,all,5058,59918,5415,5769,787,0.09032801862239637,0.13544640748255896,0.04511838886016259,0.004630578787318031,True,0.4559991281078253,1.5777489691388984
1,all,5119,30663,610,558,34,0.019951491196940445,0.05957026214665887,0.039618770949718426,0.009516853794894347,True,1.1351177355181044,3.1115398600979627
1,all,5256,24768,1521,1611,217,0.061374550994372425,0.13137824648829902,0.0700036954939266,0.00839122329921256,True,0.8385940228523543,2.3131125061379643
1,all,5295,39261,1025,1027,55,0.02614240242113121,0.053210067862938214,0.027067665441807005,0.006839972546690567,True,0.7388768593006998,2.093582805473872
1,all,5336,27045,212,182,8,0.007932734118955084,0.0449248289859074,0.03699209486695231,0.013193126529962849,True,1.771993730919275,5.882569939222393
1,all,5356,32117,2039,2108,383,0.06345523818664671,0.17774509511247383,0.11428985692582712,0.008313076399029428,True,1.1601625945186593,3.190451983950153
1,all,5383,28165,1929,1929,227,0.06844214910326027,0.1154326450799762,0.04699049597671594,0.007312196168444011,True,0.5744579828029548,1.7761675526049503
1,all,5402,37360,1596,1705,184,0.04272796410479257,0.10574136280260799,0.06301339869781541,0.007383710417990007,True,0.9742351094209876,2.649140133504602
1,all,5573,140736,8195,8171,498,0.058224805349862775,0.060844299577615606,0.0026194942277528305,0.0027069589307965624,True,0.046791981059507215,1.047904002525352
1,all,5675,162153,5385,5301,282,0.033215079506889705,0.053131813169166105,0.0199167336622764,0.003094119766723457,True,0.4905880502165223,1.6332763861472561
1,all,5886,25160,2174,2249,255,0.08630886794442384,0.11156807015994281,0.025259202215518972,0.0067795990364351915,True,0.28473710155802134,1.3294124817056956
1,all,6003,25133,606,555,69,0.02417152098977431,0.11640927518777583,0.09223775419800152,0.012917359232237281,True,1.671229952106008,5.3187055288750305
1,all,6181,27013,700,677,68,0.02596483955833955,0.09589158841789196,0.06992674885955241,0.010853033937486252,True,1.3809730923915584,3.978771456570907
1,all,6194,41857,443,370,12,0.010640221134331116,0.03467896734586816,0.024038746211537045,0.008787641601028044,True,1.2060894314035435,3.340396229046636
1,all,6474,33854,3913,4677,900,0.11545660898637718,0.19047951608582678,0.0750229070994496,0.005960600973168516,True,0.5892793743777969,1.8026888834178219
1,all,6519,33081,1663,1688,227,0.0502655587194144,0.1313119620198794,0.081046403300465,0.008155618030116614,True,1.0494540952558307,2.856091538490307
1,all,6591,38484,1481,1364,129,0.0384987803138892,0.09247576209583738,0.05397698178194818,0.007726110452571269,True,0.9340955774882578,2.5449107420165493
1,all,6609,32897,160,129,10,0.0049467020284227805,0.06763399527159339,0.06268729324317061,0.018037067308271724,True,2.6804605026201824,14.591811316273425
1,all,6786,28278,1708,1750,172,0.06037163109343255,0.09650260026384617,0.03613096917041363,0.007074043583441306,True,0.5082618558264964,1.6623991928446018
1,all,6858,34487,1250,1230,49,0.03626670143826301,0.04022498021983937,0.003958278781576362,0.005552093603828879,True,0.10770388910024797,1.1137179125421746
1,all,6946,28753,1681,1876,297,0.05843955341586431,0.154670342058813,0.09623078864294868,0.00832304461432115,True,1.0811149509325364,2.9479645552459393
1,all,7097,26039,1877,2030,236,0.07202443088396558,0.11416292169531657,0.04213849081135099,0.007129814426459125,True,0.5070935434255412,1.6604581253596595
1,all,7109,29180,272,247,21,0.00940530055388935,0.07734454503633112,0.06793924448244176,0.015136180236975404,True,2.178046225050266,8.829039440386108
1,all,7332,33129,1948,1974,92,0.05877903890845381,0.046639670200338865,-0.012139368708114946,0.004845052663864967,True,-0.24414884486865018,0.7833710248274249
1,all,7522,36087,1355,1408,124,0.03756606753414252,0.08631446024898173,0.04874839271483922,0.0073853198034248635,True,0.8838749166113229,2.4202598649428384
1,all,7643,29499,2456,2691,507,0.08318014510415428,0.18514081673471314,0.10196067163055886,0.007571079834858133,True,0.9180037137196817,2.504286124592557
1,all,7652,43244,2583,2771,361,0.05971304873711939,0.12841563354747268,0.0687025848103533,0.006384621592727052,True,0.841594001796852,2.320062214229398
1,all,7735,42798,1386,1614,313,0.03240750516699872,0.18835709926423252,0.1559495940972338,0.009580679649117607,True,1.935700144586789,6.9288935848301305
1,all,7862,32023,1611,1699,206,0.05030236378466132,0.11858055503469665,0.06827819125003534,0.0077937653305601776,True,0.9321504918602401,2.539965483742203
1,all,8503,23963,2012,2340,448,0.08386626235917789,0.1876302634162775,0.10376400105709961,0.008159548617818774,True,0.9254567057639393,2.523020275174429
1,congruent,163,25296,1477,597,57,0.05836122885485553,0.0908231000729452,0.03246187121808967,0.01126332955374859,True,0.4773439257376202,1.6117876840081946
1,congruent,166,40007,1340,474,24,0.033516655123530206,0.050264746276103486,0.01674809115257328,0.00945212094339863,True,0.42274227959434096,1.5261409276201499
1,congruent,182,19526,561,97,3,0.02879259120462312,0.03754693348304192,0.008754342278418797,0.014973731637210476,True,0.2745283516278305,1.3159098817274542
1,congruent,221,36375,1015,562,40,0.027938391225341207,0.0687517905971861,0.04081339937184489,0.010140261555792701,True,0.9433943477709845,2.5686856497874446
1,congruent,335,40966,989,335,33,0.02417859647191298,0.09031121482280598,0.066132618350893,0.014347715343985644,True,1.3879708841408265,4.006711716685442
1,congruent,522,18025,150,58,0,0.00846100141974895,0.024980719841855605,0.016519718422106654,0.014076722292870164,True,1.099437818041114,3.002477610648488
1,congruent,569,13098,1234,1187,169,0.09398521630641712,0.13750954516688185,0.04352432886046473,0.010058941736490667,True,0.4297873789957598,1.536930705055318
1,congruent,677,15737,799,298,24,0.050758960292057405,0.07468894059540698,0.023929980303349578,0.013904245976555164,True,0.4117766687387401,1.5094972807498777
1,congruent,878,11830,890,571,59,0.07508300951964962,0.09768921755743824,0.022606208037788622,0.012016138307894986,True,0.28794187968412066,1.3336797879802156
1,congruent,899,14489,236,24,1,0.016426126024488653,0.04594686333453115,0.029520737310042497,0.022192519512742533,True,1.0590858459942472,2.8837336073363256
1,congruent,984,16452,459,141,17,0.0279757223396351,0.0977202280667156,0.06974450572708049,0.02071793367309451,True,1.325227646257877,3.763041899908338
1,congruent,1018,17017,1717,532,41,0.10069855585347513,0.07388852611576542,-0.026810029737709712,0.010949118936215469,True,-0.33895022573763933,0.7125179132601343
1,congruent,1054,14301,408,271,38,0.02861447256748829,0.12247027627412195,0.09385580370663366,0.017933033172083876,True,1.5555683373929348,4.737778416769324
1,congruent,1127,14285,650,243,49,0.0455114233587159,0.16943927080527582,0.12392784744655992,0.021439116312398275,True,1.453605846173924,4.278514398451514
1,congruent,1182,17500,318,99,6,0.01827881063284452,0.055468468301078315,0.037189657668233796,0.017890837798280157,True,1.1486904964218718,3.1540599514265266
1,congruent,1354,15803,1137,883,97,0.0718496238764578,0.10562937238757535,0.03377974851111755,0.010189931417833736,True,0.422434603898191,1.5256714433759708
1,congruent,1369,14903,451,271,16,0.03033650987480837,0.05683903785238867,0.0265025279775803,0.012704962556065283,True,0.6555835765510842,1.9262663132855757
1,congruent,1478,12197,829,375,31,0.0678605990297899,0.07753259692109739,0.009671997891307488,0.012947232126142811,True,0.14367320209301182,1.1545067564777218
1,congruent,1488,13254,449,199,47,0.03394246881209131,0.1901657099778259,0.15622324116573458,0.024194010794676722,True,1.8996225942001095,6.68337162303255
1,congruent,1744,13877,499,237,36,0.03601214925825145,0.12965468741161118,0.09364253815335974,0.01938792765094498,True,1.3832069524082438,3.9876694097340084
1,congruent,1941,36300,1529,317,44,0.04213079174353182,0.12343134999900188,0.08130055825547006,0.016858014306424994,True,1.1636024810305527,3.2014456743797717
1,congruent,2046,17722,449,63,2,0.025415920278271154,0.03972132178521692,0.014305401506945769,0.017289002683021238,True,0.4612996188501306,1.5861340157428274
1,congruent,2090,13053,763,297,38,0.05840060651355362,0.11365473844871002,0.0552541319351564,0.01680218376172508,True,0.7263123188824934,2.0674424642744116
1,congruent,2143,13172,395,103,7,0.030073027926422843,0.060122159296370443,0.0300491313699476,0.01838872548780288,True,0.7242206648456957,2.063122609294172
1,congruent,2317,17201,786,301,25,0.045701904111866386,0.07681358446652863,0.03111168035466224,0.014006030449329803,True,0.5523864541090648,1.7373942861618699
1,congruent,2410,15168,531,173,39,0.03506076477240567,0.1772837062425668,0.14222294147016115,0.02478957612722064,True,1.7801223284688135,5.930581853216864
1,congruent,2553,14956,683,167,12,0.045675324898322496,0.06510551032956832,0.019430185431245826,0.016279608465163794,True,0.37502124040468177,1.4550223195528718
1,congruent,2683,16948,883,174,13,0.05208335636283971,0.06739034321470337,0.015306986851863665,0.016298504055599114,True,0.27393612051641636,1.315130789679724
1,congruent,2718,12721,501,112,33,0.03942469057809693,0.2046057032085905,0.16518101263049356,0.030353571240704716,True,1.8353868667028779,6.267558386124413
1,congruent,2918,89007,6583,2927,133,0.07394143493004023,0.04548425923646632,-0.028457175693573908,0.0039087410505496654,True,-0.5161737010231979,0.596799718948677
1,congruent,3288,13388,853,272,26,0.06363660985856669,0.08641362652928425,0.022777016670717562,0.01544499871410801,True,0.33058216126596873,1.3917781319838296
1,congruent,3403,12507,215,92,23,0.017345415834004303,0.16678463847423963,0.14943922264023532,0.029754630239397985,True,2.428340658727329,11.340049447358185
1,congruent,3471,12323,869,331,67,0.07039947373150766,0.17725631399643188,0.10685684026492422,0.019322656369450703,True,1.0455212377150271,2.844880996527972
1,congruent,3497,14847,873,97,7,0.058751303287109896,0.06235987030686988,0.0036085670197599853,0.0190835602525245,True,0.06344980418140134,1.0655060005131916
1,congruent,3605,13069,188,85,19,0.014547308269468037,0.14780079623697218,0.13325348796750414,0.02897660066094843,True,2.463740232292044,11.748672227523109
1,congruent,3875,43013,2818,733,36,0.06548829523746798,0.048987072761758815,-0.016501222475709162,0.007732121528906579,True,-0.3078184896787164,0.7350487248315482
1,congruent,3988,19870,925,210,12,0.046555794040015745,0.05489590661481218,0.008340112574796436,0.013811166865992442,True,0.17357315501841297,1.1895477049709209
1,congruent,4193,27161,1126,561,108,0.041470863069196166,0.17762586850459725,0.13615500543540107,0.015320890843074945,True,1.6078929111894562,4.992280958276779
1,congruent,4275,15744,501,173,6,0.03188551517237675,0.03816425729997404,0.006278742127597291,0.012492128944355942,True,0.18625422726391516,1.2047284962785922
1,congruent,4344,14575,660,154,15,0.04529294752582009,0.08273274138850209,0.037439793862682,0.018685510747918417,True,0.6424697560375856,1.9011705131487526
1,congruent,4398,15091,439,131,9,0.029168379030013385,0.06174392894860275,0.03257554991858937,0.017237377497500192,True,0.7840405782709841,2.1903045065972004
1,congruent,4431,22803,1572,282,8,0.06887823478537877,0.03192547862216863,-0.03695275616321014,0.009582201421684759,True,-0.8078548492932307,0.44581337809574495
1,congruent,4484,26274,341,98,4,0.013062878944367366,0.04348044828490762,0.030417569340540258,0.01597872987809217,True,1.2338419336425441,3.434398954961455
1,congruent,4790,13579,837,431,33,0.06157297525476462,0.07280360668263589,0.011230631427871264,0.011843714549344075,True,0.17958212895896608,1.196717185168158
1,congruent,4969,19841,886,393,51,0.04466433501478136,0.11822410993132053,0.07355977491653917,0.01515437188153241,True,1.0535315807017742,2.8677609850020365
1,congruent,5058,31545,2988,1306,204,0.09462600160953918,0.1511106832418916,0.05648468163235243,0.00981122774174264,True,0.5324995805232049,1.7031842385342153
1,congruent,5119,15645,321,130,6,0.020628209652987322,0.04661436244903315,0.02598615279604583,0.015131097975734765,True,0.842141018708289,2.321331674672678
1,congruent,5256,12985,799,131,13,0.061463723191953715,0.08223507823463433,0.020771355042680614,0.01972509051234724,True,0.3135150475636137,1.3682260510754432
1,congruent,5295,20040,561,164,8,0.028056457098661256,0.04843338236262917,0.02037692526396791,0.014227828340600965,True,0.567158510911586,1.7632496716924628
1,congruent,5336,13645,117,29,1,0.008757093414457207,0.0434820676150604,0.03472497420060319,0.021026792181566514,True,1.6381446467491472,5.145613719148529
1,congruent,5356,16544,1108,627,122,0.06689782052372603,0.18091966503009427,0.11402184450636824,0.014759357703316564,True,1.1252192484796555,3.080892255817428
1,congruent,5383,14837,1045,362,61,0.07033342022242796,0.15028592988323197,0.07995250966080401,0.017415703787419756,True,0.8492186993298589,2.3378195981829255
1,congruent,5402,19338,861,189,27,0.04453373958364683,0.11868902118567862,0.07415528160203179,0.020339063809168643,True,1.0610486150276617,2.8893992687349
1,congruent,5573,73353,4251,1043,48,0.05794353964203349,0.04610956677426584,-0.011833972867767655,0.006358646455468413,True,-0.24093223681139664,0.7858948793269609
1,congruent,5675,83614,2815,890,42,0.033677261100088576,0.04721495016344083,0.013537689063352253,0.006890876330361715,True,0.35199626788340543,1.4219032170000827
1,congruent,5886,13470,1123,308,33,0.08320050547921652,0.09686242918687912,0.013661923707662602,0.015493128667825127,True,0.1670521969065395,1.1818159508351833
1,congruent,6003,12787,284,98,16,0.022336642526551043,0.11746034413589555,0.09512370160934451,0.02523623126112515,True,1.7622339592222143,5.825436657028522
1,congruent,6181,13830,365,133,12,0.02648966004260869,0.07633024370374017,0.04984058366113148,0.018909412642356755,True,1.1108686138221615,3.0369952251064696
1,congruent,6194,21026,208,118,2,0.010007147265064879,0.027731212015229115,0.017724064750164234,0.012150648291559943,True,1.0373244287544394,2.8216573603666864
1,congruent,6474,18376,2194,728,169,0.11914469785172388,0.21718183104819494,0.09803713319647106,0.014833360115724701,True,0.7183891552385195,2.051126501681142
1,congruent,6519,16987,879,335,42,0.051729642331304046,0.11285595316655092,0.061126310835246875,0.01590743263633126,True,0.8467135670446337,2.3319703804216023
1,congruent,6591,19622,717,319,39,0.03657651409226543,0.10973934217249107,0.07316282808022564,0.01600223866315482,True,1.1776803724635374,3.2468340154688193
1,congruent,6609,16518,85,21,2,0.005310077463322303,0.05930082337155132,0.05399074590822902,0.02544446198518278,True,2.468824416659094,11.808556746166795
1,congruent,6786,14879,920,122,17,0.06177073282588601,0.10769134629142642,0.04592061346554041,0.022741663079412427,True,0.6060218007576803,1.8331243400899706
1,congruent,6858,17692,634,160,1,0.03587775402825008,0.01807621311144259,-0.017801540916807492,0.008986781272805945,True,-0.7038161547509336,0.4946938687249789
1,congruent,6946,15074,916,279,54,0.06071081247222643,0.1662347434601076,0.10552393098788118,0.020160220144286905,True,1.1264506047420766,3.0846882684327883
1,congruent,7097,13671,950,473,82,0.06938758571487635,0.15832429865485775,0.0889367129399814,0.015883857855181843,True,0.9253855734421299,2.52284081326713
1,congruent,7109,14661,144,59,5,0.009986467917481813,0.065360327927668,0.05537386001018618,0.022192372870175225,True,1.9362420337197044,6.932649294464093
1,congruent,7332,17474,947,203,17,0.05417046573270122,0.07504615291254593,0.020875687179844712,0.01617808343767136,True,0.34828596444659077,1.4166372997237513
1,congruent,7522,18619,725,246,31,0.03896830076338006,0.10977471212167841,0.07080641135829835,0.01777700555158791,True,1.1122145102789363,3.0410854581168065
1,congruent,7643,15558,1258,589,114,0.08072181233750757,0.17919731047003765,0.09847549813253008,0.015151910800561687,True,0.9107846962911987,2.4862727371216553
1,congruent,7652,22494,1295,667,106,0.05754237665710636,0.14914096068020247,0.0915985840230961,0.013255676480934678,True,1.05461472456663,2.870868865555844
1,congruent,7735,21841,743,399,113,0.03405824130397963,0.2505423979292998,0.21648415662532014,0.020149458277864525,True,2.2493099142770974,9.48119074391235
1,congruent,7862,16485,890,328,49,0.0539634824283205,0.1327179315768483,0.0787544491485278,0.017199308793777453,True,0.9868354025075114,2.6827312602046915
1,congruent,8503,12782,1093,448,87,0.0853211274964883,0.17581355775034468,0.09049243025385638,0.016983031517956115,True,0.8271782696373642,2.2868567344502098
1,incongruent,163,22954,1396,2319,184,0.06078158369980717,0.07850787363713395,0.017726289937326778,0.0057302510598425905,True,0.2749659021292099,1.3164857847401121
1,incongruent,166,38040,1303,2125,99,0.0342759265369941,0.0466237991045859,0.012347872567591803,0.004601381671093839,True,0.3205364386999934,1.3778667071446218
1,incongruent,182,18479,446,903,21,0.02421625900358873,0.024863074592967473,0.0006468155893787422,0.00513233007592926,True,0.02702257508376249,1.0273909959394847
1,incongruent,221,35206,949,1438,108,0.02699303225465278,0.07395521071832299,0.04696217846367021,0.00680693151020582,True,1.0573495225635074,2.87873085755859
1,incongruent,335,39493,953,1476,72,0.024168719917499887,0.048741000533419315,0.02457228061591943,0.005540685760547448,True,0.7269646771688203,2.0687916175152865
1,incongruent,522,17497,160,219,9,0.009283667871633811,0.042602022044252015,0.033318354172618206,0.012022235053892485,True,1.5578540888248291,4.748620186644582
1,incongruent,569,13081,1169,1229,231,0.08916641628972499,0.1811012795833767,0.09193486329365172,0.010993445669608713,True,0.8149517533429069,2.259066677305069
1,incongruent,677,14676,629,1204,110,0.0428803655663373,0.08918971626750113,0.046309350701163834,0.008175477971568871,True,0.7819454708909128,2.185720387248787
1,incongruent,878,11129,705,900,118,0.06326028937638263,0.12564406319652582,0.06238377382014319,0.010919155225069314,True,0.7551131322670004,2.127852238486299
1,incongruent,899,14089,184,387,9,0.013215116606423818,0.026705153004954737,0.013490036398530919,0.007650148302550524,True,0.7172601720839098,2.0488121211069377
1,incongruent,984,15610,439,696,31,0.028202449091617874,0.04481327615458423,0.01661082706296636,0.007619346125216769,True,0.48033627495134645,1.6166179389176338
1,incongruent,1018,14571,1351,2663,218,0.09252443802826764,0.08107306763719696,-0.011451370391070678,0.005749290400817763,True,-0.1446619614869089,0.865314753389129
1,incongruent,1054,13655,364,541,66,0.02675443270532084,0.1142347346798613,0.08748030197454046,0.01300324875496517,True,1.5457396933178473,4.691440571127998
1,incongruent,1127,13380,548,983,129,0.040988925857745696,0.12619035459884492,0.08520142874109923,0.010402781880327911,True,1.217529656010083,3.378830541580477
1,incongruent,1182,17022,326,490,32,0.01925776888038214,0.0633076819549649,0.04404991307458277,0.010397194820969104,True,1.2360469267592062,3.4419801361715705
1,incongruent,1354,15397,944,1310,151,0.061255472589450854,0.11216186632929863,0.050906393739847774,0.008728292860389035,True,0.6606437981293629,1.9360383511362096
1,incongruent,1369,14585,515,687,40,0.03536423988916064,0.05734730486360417,0.02198306497444353,0.008619132996295121,True,0.5064773734600134,1.6594353160783364
1,incongruent,1478,11156,717,1243,142,0.06417764095920928,0.11102488229515789,0.046847241335948614,0.008991942622480717,True,0.5994558877178742,1.8211276328493942
1,incongruent,1488,12515,377,690,80,0.030212795026731368,0.11022400405896438,0.08001120903223301,0.011504922817221975,True,1.3803561146600116,3.9763174003101684
1,incongruent,1744,13350,467,808,107,0.035041784677376356,0.1262859811295243,0.09124419645214794,0.011358810403386843,True,1.3813395168892235,3.9802296430445128
1,incongruent,1941,33164,1447,2865,351,0.04363961653461697,0.12090037287758959,0.07726075634297262,0.006126977932172778,True,1.1032380473570877,3.01390942207956
1,incongruent,2046,16730,414,794,33,0.02483283134686857,0.04202321986193392,0.01719038851506535,0.006953389365464844,True,0.5438410685830641,1.722610837272656
1,incongruent,2090,12480,629,1113,99,0.0503876291354813,0.08673802533881537,0.03635039620333407,0.00843230180688369,True,0.5821777745011358,1.7899322581026313
1,incongruent,2143,12548,316,576,21,0.025296775294775035,0.03758198878161863,0.012285213486843593,0.007645277250115055,True,0.4085321453191515,1.5046076180726426
1,incongruent,2317,15640,778,1302,65,0.0497364947843182,0.049825756536537105,8.926175221890542e-05,0.006136948068466245,True,0.001887022823874318,1.0018888043718743
1,incongruent,2410,14217,517,917,75,0.036415626834509364,0.07959746099652758,0.043181834162018214,0.00878183846901747,True,0.827833140883063,2.288354821642208
1,incongruent,2553,14094,490,1046,78,0.03482485740637276,0.07304506263235515,0.038220205225982386,0.007959981200626876,True,0.781149748608096,2.1839818526197514
1,incongruent,2683,15395,666,1339,113,0.04327944229505161,0.08274237499419539,0.03946293269914378,0.007534280291934493,True,0.6901770909407188,1.9940686334668927
1,incongruent,2718,12025,388,834,117,0.03234745692659241,0.1337719269639243,0.10142447003733188,0.01147153339738541,True,1.5303257476971797,4.6196814278124
1,incongruent,2918,82181,5749,9506,315,0.06993832581065829,0.033233970261628415,-0.03670435554902987,0.0020366943388280623,True,-0.7827468515067606,0.45714856586095726
1,incongruent,3288,12422,846,1528,107,0.06800225071358466,0.06914383741314191,0.0011415866995572455,0.0067453066059222,True,0.017873763837427337,1.0180344555149425
1,incongruent,3403,12035,218,336,45,0.018269069435222145,0.12029179858838664,0.10202272915316449,0.016306103117272715,True,1.994438017104797,7.348072376333536
1,incongruent,3471,11063,775,1398,188,0.069926988181077,0.13072833532055322,0.06080134713947623,0.009141174764987875,True,0.6932771184407645,2.0002598926462225
1,incongruent,3497,13304,709,1526,80,0.05326635667180645,0.05224142128818321,-0.001024935383623242,0.005908275519030839,True,-0.020511249513588403,0.9796976752902158
1,incongruent,3605,12829,188,327,36,0.014816938616322693,0.10000245333029358,0.08518551471397089,0.015204765128581925,True,1.99985912718595,7.38801525511984
1,incongruent,3875,39456,2294,4409,233,0.05812420114937716,0.05277537997139448,-0.005348821177982674,0.0035441046562435237,True,-0.10220016529213227,0.902848814584112
